quote_datetime,option_type,expiration,strike,mid
2025-12-01T10:39:00Z,C,2025-12-19,6750,137.55
2025-12-01T10:40:00Z,C,2025-12-19,6750,139.3
2025-12-01T10:41:00Z,C,2025-12-19,6750,138.3
2025-12-01T10:42:00Z,C,2025-12-19,6750,138.4
2025-12-01T10:43:00Z,C,2025-12-19,6750,140.2
2025-12-01T10:44:00Z,C,2025-12-19,6750,138.95
2025-12-01T10:45:00Z,C,2025-12-19,6750,139.35000000000002
2025-12-01T10:46:00Z,C,2025-12-19,6750,140.2
2025-12-01T10:47:00Z,C,2025-12-19,6750,138.8
2025-12-01T10:48:00Z,C,2025-12-19,6750,138.55
2025-12-01T10:49:00Z,C,2025-12-19,6750,139.89999999999998
2025-12-01T10:50:00Z,C,2025-12-19,6750,139.85000000000002
2025-12-01T10:51:00Z,C,2025-12-19,6750,140.64999999999998
2025-12-01T10:52:00Z,C,2025-12-19,6750,143.3
2025-12-01T10:53:00Z,C,2025-12-19,6750,146.25
2025-12-01T10:54:00Z,C,2025-12-19,6750,147.25
2025-12-01T10:55:00Z,C,2025-12-19,6750,148.05
2025-12-01T10:56:00Z,C,2025-12-19,6750,147.95
2025-12-01T10:57:00Z,C,2025-12-19,6750,148
2025-12-01T10:58:00Z,C,2025-12-19,6750,148.5
2025-12-01T10:59:00Z,C,2025-12-19,6750,148.75
2025-12-01T11:00:00Z,C,2025-12-19,6750,148.25
2025-12-01T11:01:00Z,C,2025-12-19,6750,148.1
2025-12-01T11:02:00Z,C,2025-12-19,6750,148
2025-12-01T11:03:00Z,C,2025-12-19,6750,148.25
2025-12-01T11:04:00Z,C,2025-12-19,6750,148.7
2025-12-01T11:05:00Z,C,2025-12-19,6750,148.64999999999998
2025-12-01T11:06:00Z,C,2025-12-19,6750,146.5
2025-12-01T11:07:00Z,C,2025-12-19,6750,144.14999999999998
2025-12-01T11:08:00Z,C,2025-12-19,6750,142.6
2025-12-01T11:09:00Z,C,2025-12-19,6750,141.75
2025-12-01T11:10:00Z,C,2025-12-19,6750,143.25
2025-12-01T11:11:00Z,C,2025-12-19,6750,143.1
2025-12-01T11:12:00Z,C,2025-12-19,6750,141.45
2025-12-01T11:13:00Z,C,2025-12-19,6750,142.35
2025-12-01T11:14:00Z,C,2025-12-19,6750,143.35000000000002
2025-12-01T11:15:00Z,C,2025-12-19,6750,141.3
2025-12-01T11:16:00Z,C,2025-12-19,6750,140.2
2025-12-01T11:17:00Z,C,2025-12-19,6750,139.75
2025-12-01T11:18:00Z,C,2025-12-19,6750,140.5
2025-12-01T11:19:00Z,C,2025-12-19,6750,142.4
2025-12-01T11:20:00Z,C,2025-12-19,6750,141.25
2025-12-01T11:21:00Z,C,2025-12-19,6750,144.14999999999998
2025-12-01T11:22:00Z,C,2025-12-19,6750,144.75
2025-12-01T11:23:00Z,C,2025-12-19,6750,143.5
2025-12-01T11:24:00Z,C,2025-12-19,6750,142.5
2025-12-01T11:25:00Z,C,2025-12-19,6750,142.85000000000002
2025-12-01T11:26:00Z,C,2025-12-19,6750,143.75
2025-12-01T11:27:00Z,C,2025-12-19,6750,144.45
2025-12-01T11:28:00Z,C,2025-12-19,6750,143.6
2025-12-01T11:29:00Z,C,2025-12-19,6750,142.85000000000002
2025-12-01T11:30:00Z,C,2025-12-19,6750,143.7
2025-12-01T11:31:00Z,C,2025-12-19,6750,145.35
2025-12-01T11:32:00Z,C,2025-12-19,6750,146
2025-12-01T11:33:00Z,C,2025-12-19,6750,145.55
2025-12-01T11:34:00Z,C,2025-12-19,6750,145.2
2025-12-01T11:35:00Z,C,2025-12-19,6750,145.89999999999998
2025-12-01T11:36:00Z,C,2025-12-19,6750,146.25
2025-12-01T11:37:00Z,C,2025-12-19,6750,145.60000000000002
2025-12-01T11:38:00Z,C,2025-12-19,6750,147.15
2025-12-01T11:39:00Z,C,2025-12-19,6750,147.25
2025-12-01T11:40:00Z,C,2025-12-19,6750,146.45
2025-12-01T11:41:00Z,C,2025-12-19,6750,145.9
2025-12-01T11:42:00Z,C,2025-12-19,6750,147.35
2025-12-01T11:43:00Z,C,2025-12-19,6750,149.45
2025-12-01T11:44:00Z,C,2025-12-19,6750,150.8
2025-12-01T11:45:00Z,C,2025-12-19,6750,150.15
2025-12-01T11:46:00Z,C,2025-12-19,6750,150.35
2025-12-01T11:47:00Z,C,2025-12-19,6750,151.85
2025-12-01T11:48:00Z,C,2025-12-19,6750,151.8
2025-12-01T11:49:00Z,C,2025-12-19,6750,151.05
2025-12-01T11:50:00Z,C,2025-12-19,6750,150.75
2025-12-01T11:51:00Z,C,2025-12-19,6750,150.14999999999998
2025-12-01T11:52:00Z,C,2025-12-19,6750,151.05
2025-12-01T11:53:00Z,C,2025-12-19,6750,150.10000000000002
2025-12-01T11:54:00Z,C,2025-12-19,6750,149.39999999999998
2025-12-01T11:55:00Z,C,2025-12-19,6750,148.8
2025-12-01T11:56:00Z,C,2025-12-19,6750,149.45
2025-12-01T11:57:00Z,C,2025-12-19,6750,149.15
2025-12-01T11:58:00Z,C,2025-12-19,6750,148.85
2025-12-01T11:59:00Z,C,2025-12-19,6750,148.35000000000002
2025-12-01T12:00:00Z,C,2025-12-19,6750,149.25
2025-12-01T12:01:00Z,C,2025-12-19,6750,150.5
2025-12-01T12:02:00Z,C,2025-12-19,6750,150.5
2025-12-01T12:03:00Z,C,2025-12-19,6750,149
2025-12-01T12:04:00Z,C,2025-12-19,6750,149.05
2025-12-01T12:05:00Z,C,2025-12-19,6750,150.85
2025-12-01T12:06:00Z,C,2025-12-19,6750,150.75
2025-12-01T12:07:00Z,C,2025-12-19,6750,151.65
2025-12-01T12:08:00Z,C,2025-12-19,6750,152.3
2025-12-01T12:09:00Z,C,2025-12-19,6750,151.05
2025-12-01T12:10:00Z,C,2025-12-19,6750,150.45
2025-12-01T12:11:00Z,C,2025-12-19,6750,150.3
2025-12-01T12:12:00Z,C,2025-12-19,6750,151.35
2025-12-01T12:13:00Z,C,2025-12-19,6750,150.85
2025-12-01T12:14:00Z,C,2025-12-19,6750,149.55
2025-12-01T12:15:00Z,C,2025-12-19,6750,148.5
2025-12-01T12:16:00Z,C,2025-12-19,6750,146.3
2025-12-01T12:17:00Z,C,2025-12-19,6750,148.05
2025-12-01T12:18:00Z,C,2025-12-19,6750,147.95
2025-12-01T12:19:00Z,C,2025-12-19,6750,147.9
2025-12-01T12:20:00Z,C,2025-12-19,6750,146.75
2025-12-01T12:21:00Z,C,2025-12-19,6750,146.05
2025-12-01T12:22:00Z,C,2025-12-19,6750,147.75
2025-12-01T12:23:00Z,C,2025-12-19,6750,148.14999999999998
2025-12-01T12:24:00Z,C,2025-12-19,6750,146.85
2025-12-01T12:25:00Z,C,2025-12-19,6750,147.8
2025-12-01T12:26:00Z,C,2025-12-19,6750,147.2
2025-12-01T12:27:00Z,C,2025-12-19,6750,149.35
2025-12-01T12:28:00Z,C,2025-12-19,6750,149.55
2025-12-01T12:29:00Z,C,2025-12-19,6750,149.2
2025-12-01T12:30:00Z,C,2025-12-19,6750,149.05
2025-12-01T12:31:00Z,C,2025-12-19,6750,147.7
2025-12-01T12:32:00Z,C,2025-12-19,6750,148.35000000000002
2025-12-01T12:33:00Z,C,2025-12-19,6750,148.39999999999998
2025-12-01T12:34:00Z,C,2025-12-19,6750,148.75
2025-12-01T12:35:00Z,C,2025-12-19,6750,148.75
2025-12-01T12:36:00Z,C,2025-12-19,6750,149.65
2025-12-01T12:37:00Z,C,2025-12-19,6750,150.3
2025-12-01T12:38:00Z,C,2025-12-19,6750,149.89999999999998
2025-12-01T12:39:00Z,C,2025-12-19,6750,148.65
2025-12-01T12:40:00Z,C,2025-12-19,6750,147.95
2025-12-01T12:41:00Z,C,2025-12-19,6750,149.39999999999998
2025-12-01T12:42:00Z,C,2025-12-19,6750,149.85
2025-12-01T12:43:00Z,C,2025-12-19,6750,150.95
2025-12-01T12:44:00Z,C,2025-12-19,6750,150.64999999999998
2025-12-01T12:45:00Z,C,2025-12-19,6750,152.7
2025-12-01T12:46:00Z,C,2025-12-19,6750,153.65
2025-12-01T12:47:00Z,C,2025-12-19,6750,153.85
2025-12-01T12:48:00Z,C,2025-12-19,6750,152.35
2025-12-01T12:49:00Z,C,2025-12-19,6750,153.45
2025-12-01T12:50:00Z,C,2025-12-19,6750,152.5
2025-12-01T12:51:00Z,C,2025-12-19,6750,150.55
2025-12-01T12:52:00Z,C,2025-12-19,6750,150.45
2025-12-01T12:53:00Z,C,2025-12-19,6750,151.05
2025-12-01T12:54:00Z,C,2025-12-19,6750,150.3
2025-12-01T12:55:00Z,C,2025-12-19,6750,150.05
2025-12-01T12:56:00Z,C,2025-12-19,6750,149.75
2025-12-01T12:57:00Z,C,2025-12-19,6750,148.3
2025-12-01T12:58:00Z,C,2025-12-19,6750,149.55
2025-12-01T12:59:00Z,C,2025-12-19,6750,150.25
2025-12-01T13:00:00Z,C,2025-12-19,6750,149.35000000000002
2025-12-01T13:01:00Z,C,2025-12-19,6750,150.85
2025-12-01T13:02:00Z,C,2025-12-19,6750,151.3
2025-12-01T13:03:00Z,C,2025-12-19,6750,150.7
2025-12-01T13:04:00Z,C,2025-12-19,6750,151.45
2025-12-01T13:05:00Z,C,2025-12-19,6750,151.05
2025-12-01T13:06:00Z,C,2025-12-19,6750,151.05
2025-12-01T13:07:00Z,C,2025-12-19,6750,150.39999999999998
2025-12-01T13:08:00Z,C,2025-12-19,6750,150.7
2025-12-01T13:09:00Z,C,2025-12-19,6750,151.95
2025-12-01T13:10:00Z,C,2025-12-19,6750,151.4
2025-12-01T13:11:00Z,C,2025-12-19,6750,151.45
2025-12-01T13:12:00Z,C,2025-12-19,6750,151.85
2025-12-01T13:13:00Z,C,2025-12-19,6750,152.65
2025-12-01T13:14:00Z,C,2025-12-19,6750,152.85000000000002
2025-12-01T13:15:00Z,C,2025-12-19,6750,152.95
2025-12-01T13:16:00Z,C,2025-12-19,6750,153.60000000000002
2025-12-01T13:17:00Z,C,2025-12-19,6750,152.8
2025-12-01T13:18:00Z,C,2025-12-19,6750,151.9
2025-12-01T13:19:00Z,C,2025-12-19,6750,152.05
2025-12-01T13:20:00Z,C,2025-12-19,6750,152.45
2025-12-01T13:21:00Z,C,2025-12-19,6750,151.39999999999998
2025-12-01T13:22:00Z,C,2025-12-19,6750,151.35
2025-12-01T13:23:00Z,C,2025-12-19,6750,151.7
2025-12-01T13:24:00Z,C,2025-12-19,6750,151.35
2025-12-01T13:25:00Z,C,2025-12-19,6750,152.15
2025-12-01T13:26:00Z,C,2025-12-19,6750,152.45
2025-12-01T13:27:00Z,C,2025-12-19,6750,152.89999999999998
2025-12-01T13:28:00Z,C,2025-12-19,6750,152.65
2025-12-01T13:29:00Z,C,2025-12-19,6750,152.35
2025-12-01T13:30:00Z,C,2025-12-19,6750,152.05
2025-12-01T13:31:00Z,C,2025-12-19,6750,153.35
2025-12-01T13:32:00Z,C,2025-12-19,6750,153.05
2025-12-01T13:33:00Z,C,2025-12-19,6750,153.05
2025-12-01T13:34:00Z,C,2025-12-19,6750,153.15
2025-12-01T13:35:00Z,C,2025-12-19,6750,153.55
2025-12-01T13:36:00Z,C,2025-12-19,6750,153.25
2025-12-01T13:37:00Z,C,2025-12-19,6750,154.2
2025-12-01T13:38:00Z,C,2025-12-19,6750,153.75
2025-12-01T13:39:00Z,C,2025-12-19,6750,154
2025-12-01T13:40:00Z,C,2025-12-19,6750,153.89999999999998
2025-12-01T13:41:00Z,C,2025-12-19,6750,153.65
2025-12-01T13:42:00Z,C,2025-12-19,6750,153.7
2025-12-01T13:43:00Z,C,2025-12-19,6750,153.35
2025-12-01T13:44:00Z,C,2025-12-19,6750,154.10000000000002
2025-12-01T13:45:00Z,C,2025-12-19,6750,154.05
2025-12-01T13:46:00Z,C,2025-12-19,6750,154.15
2025-12-01T13:47:00Z,C,2025-12-19,6750,154.55
2025-12-01T13:48:00Z,C,2025-12-19,6750,154.95
2025-12-01T13:49:00Z,C,2025-12-19,6750,154.2
2025-12-01T13:50:00Z,C,2025-12-19,6750,153.7
2025-12-01T13:51:00Z,C,2025-12-19,6750,155
2025-12-01T13:52:00Z,C,2025-12-19,6750,154.60000000000002
2025-12-01T13:53:00Z,C,2025-12-19,6750,154.60000000000002
2025-12-01T13:54:00Z,C,2025-12-19,6750,154.45
2025-12-01T13:55:00Z,C,2025-12-19,6750,154.35
2025-12-01T13:56:00Z,C,2025-12-19,6750,154.45
2025-12-01T13:57:00Z,C,2025-12-19,6750,154.35
2025-12-01T13:58:00Z,C,2025-12-19,6750,154.7
2025-12-01T13:59:00Z,C,2025-12-19,6750,154.45
2025-12-01T14:00:00Z,C,2025-12-19,6750,154.10000000000002
2025-12-01T14:01:00Z,C,2025-12-19,6750,151.75
2025-12-01T14:02:00Z,C,2025-12-19,6750,150.45
2025-12-01T14:03:00Z,C,2025-12-19,6750,150.95
2025-12-01T14:04:00Z,C,2025-12-19,6750,151.7
2025-12-01T14:05:00Z,C,2025-12-19,6750,150.5
2025-12-01T14:06:00Z,C,2025-12-19,6750,149
2025-12-01T14:07:00Z,C,2025-12-19,6750,149.4
2025-12-01T14:08:00Z,C,2025-12-19,6750,149.2
2025-12-01T14:09:00Z,C,2025-12-19,6750,148.89999999999998
2025-12-01T14:10:00Z,C,2025-12-19,6750,148.8
2025-12-01T14:11:00Z,C,2025-12-19,6750,148.10000000000002
2025-12-01T14:12:00Z,C,2025-12-19,6750,147.65
2025-12-01T14:13:00Z,C,2025-12-19,6750,147.05
2025-12-01T14:14:00Z,C,2025-12-19,6750,148
2025-12-01T14:15:00Z,C,2025-12-19,6750,148.65
2025-12-01T14:16:00Z,C,2025-12-19,6750,147.45
2025-12-01T14:17:00Z,C,2025-12-19,6750,146.05
2025-12-01T14:18:00Z,C,2025-12-19,6750,146
2025-12-01T14:19:00Z,C,2025-12-19,6750,145.45
2025-12-01T14:20:00Z,C,2025-12-19,6750,145.55
2025-12-01T14:21:00Z,C,2025-12-19,6750,145.5
2025-12-01T14:22:00Z,C,2025-12-19,6750,144.35
2025-12-01T14:23:00Z,C,2025-12-19,6750,143.55
2025-12-01T14:24:00Z,C,2025-12-19,6750,141.6
2025-12-01T14:25:00Z,C,2025-12-19,6750,141.9
2025-12-01T14:26:00Z,C,2025-12-19,6750,141
2025-12-01T14:27:00Z,C,2025-12-19,6750,140.35000000000002
2025-12-01T14:28:00Z,C,2025-12-19,6750,142.4
2025-12-01T14:29:00Z,C,2025-12-19,6750,140.5
2025-12-01T14:30:00Z,C,2025-12-19,6750,140
2025-12-01T14:31:00Z,C,2025-12-19,6750,139.5
2025-12-01T14:32:00Z,C,2025-12-19,6750,139
2025-12-01T14:33:00Z,C,2025-12-19,6750,137.75
2025-12-01T14:34:00Z,C,2025-12-19,6750,138.4
2025-12-01T14:35:00Z,C,2025-12-19,6750,139.05
2025-12-01T14:36:00Z,C,2025-12-19,6750,139.7
2025-12-01T14:37:00Z,C,2025-12-19,6750,141.85000000000002
2025-12-01T14:38:00Z,C,2025-12-19,6750,142
2025-12-01T14:39:00Z,C,2025-12-19,6750,140.14999999999998
2025-12-01T14:40:00Z,C,2025-12-19,6750,142.5
2025-12-01T14:41:00Z,C,2025-12-19,6750,141.45
2025-12-01T14:42:00Z,C,2025-12-19,6750,139.64999999999998
2025-12-01T14:43:00Z,C,2025-12-19,6750,138.8
2025-12-01T14:44:00Z,C,2025-12-19,6750,139.7
2025-12-01T14:45:00Z,C,2025-12-19,6750,138.2
2025-12-01T14:46:00Z,C,2025-12-19,6750,138.3
2025-12-01T14:47:00Z,C,2025-12-19,6750,138.4
2025-12-01T14:48:00Z,C,2025-12-19,6750,139.1
2025-12-01T14:49:00Z,C,2025-12-19,6750,138.3
2025-12-01T14:50:00Z,C,2025-12-19,6750,138.1
2025-12-01T14:51:00Z,C,2025-12-19,6750,137.85000000000002
2025-12-01T14:52:00Z,C,2025-12-19,6750,136.95
2025-12-01T14:53:00Z,C,2025-12-19,6750,137.85000000000002
2025-12-01T14:54:00Z,C,2025-12-19,6750,139.6
2025-12-01T14:55:00Z,C,2025-12-19,6750,139.05
2025-12-01T14:56:00Z,C,2025-12-19,6750,137.45
2025-12-01T14:57:00Z,C,2025-12-19,6750,138.1
2025-12-01T14:58:00Z,C,2025-12-19,6750,138.3
2025-12-01T14:59:00Z,C,2025-12-19,6750,138.45
2025-12-01T15:00:00Z,C,2025-12-19,6750,137.75
2025-12-01T15:01:00Z,C,2025-12-19,6750,138.14999999999998
2025-12-01T15:02:00Z,C,2025-12-19,6750,138.1
2025-12-01T15:03:00Z,C,2025-12-19,6750,137.25
2025-12-01T15:04:00Z,C,2025-12-19,6750,138.5
2025-12-01T15:05:00Z,C,2025-12-19,6750,138.7
2025-12-01T15:06:00Z,C,2025-12-19,6750,138.7
2025-12-01T15:07:00Z,C,2025-12-19,6750,138.14999999999998
2025-12-01T15:08:00Z,C,2025-12-19,6750,138.95
2025-12-01T15:09:00Z,C,2025-12-19,6750,139.3
2025-12-01T15:10:00Z,C,2025-12-19,6750,139.3
2025-12-01T15:11:00Z,C,2025-12-19,6750,141.35000000000002
2025-12-01T15:12:00Z,C,2025-12-19,6750,141.64999999999998
2025-12-01T15:13:00Z,C,2025-12-19,6750,142.14999999999998
2025-12-01T15:14:00Z,C,2025-12-19,6750,141
2025-12-01T15:15:00Z,C,2025-12-19,6750,141.9
2025-12-01T15:16:00Z,C,2025-12-19,6750,141.9
2025-12-01T15:17:00Z,C,2025-12-19,6750,141.6
2025-12-01T15:18:00Z,C,2025-12-19,6750,139.45
2025-12-01T15:19:00Z,C,2025-12-19,6750,138.7
2025-12-01T15:20:00Z,C,2025-12-19,6750,139.25
2025-12-01T15:21:00Z,C,2025-12-19,6750,140.4
2025-12-01T15:22:00Z,C,2025-12-19,6750,140
2025-12-01T15:23:00Z,C,2025-12-19,6750,139.05
2025-12-01T15:24:00Z,C,2025-12-19,6750,139.95
2025-12-01T15:25:00Z,C,2025-12-19,6750,139.5
2025-12-01T15:26:00Z,C,2025-12-19,6750,139.55
2025-12-01T15:27:00Z,C,2025-12-19,6750,140.5
2025-12-01T15:28:00Z,C,2025-12-19,6750,139.8
2025-12-01T15:29:00Z,C,2025-12-19,6750,140.4
2025-12-01T15:30:00Z,C,2025-12-19,6750,140.95
2025-12-01T15:31:00Z,C,2025-12-19,6750,140.4
2025-12-01T15:32:00Z,C,2025-12-19,6750,138.9
2025-12-01T15:33:00Z,C,2025-12-19,6750,138.85000000000002
2025-12-01T15:34:00Z,C,2025-12-19,6750,138.7
2025-12-01T15:35:00Z,C,2025-12-19,6750,139.4
2025-12-01T15:36:00Z,C,2025-12-19,6750,140.3
2025-12-01T15:37:00Z,C,2025-12-19,6750,140.95
2025-12-01T15:38:00Z,C,2025-12-19,6750,140.8
2025-12-01T15:39:00Z,C,2025-12-19,6750,141.9
2025-12-01T15:40:00Z,C,2025-12-19,6750,142.4
2025-12-01T15:41:00Z,C,2025-12-19,6750,140.45
2025-12-01T15:42:00Z,C,2025-12-19,6750,140.8
2025-12-01T15:43:00Z,C,2025-12-19,6750,141.6
2025-12-01T15:44:00Z,C,2025-12-19,6750,142.1
2025-12-01T15:45:00Z,C,2025-12-19,6750,142.35
2025-12-01T15:46:00Z,C,2025-12-19,6750,140.5
2025-12-01T15:47:00Z,C,2025-12-19,6750,138.8
2025-12-01T15:48:00Z,C,2025-12-19,6750,140.1
2025-12-01T15:49:00Z,C,2025-12-19,6750,139.55
2025-12-01T15:50:00Z,C,2025-12-19,6750,139.4
2025-12-01T15:51:00Z,C,2025-12-19,6750,140
2025-12-01T15:52:00Z,C,2025-12-19,6750,138.6
2025-12-01T15:53:00Z,C,2025-12-19,6750,137.25
2025-12-01T15:54:00Z,C,2025-12-19,6750,137.3
2025-12-01T15:55:00Z,C,2025-12-19,6750,136.55
2025-12-01T15:56:00Z,C,2025-12-19,6750,135.8
2025-12-01T15:57:00Z,C,2025-12-19,6750,133.85
2025-12-01T15:58:00Z,C,2025-12-19,6750,134.14999999999998
2025-12-01T15:59:00Z,C,2025-12-19,6750,134.45
2025-12-01T16:00:00Z,C,2025-12-19,6750,138.10000000000002
2025-12-01T16:01:00Z,C,2025-12-19,6750,139.15
2025-12-01T16:02:00Z,C,2025-12-19,6750,138.2
2025-12-01T16:03:00Z,C,2025-12-19,6750,138.4
2025-12-01T16:04:00Z,C,2025-12-19,6750,138.8
2025-12-01T16:05:00Z,C,2025-12-19,6750,138.5
2025-12-01T16:06:00Z,C,2025-12-19,6750,137.85000000000002
2025-12-01T16:07:00Z,C,2025-12-19,6750,137.9
2025-12-01T16:08:00Z,C,2025-12-19,6750,137.55
2025-12-01T16:09:00Z,C,2025-12-19,6750,137.25
2025-12-01T16:10:00Z,C,2025-12-19,6750,137.1
2025-12-01T16:11:00Z,C,2025-12-19,6750,137.5
2025-12-01T16:12:00Z,C,2025-12-19,6750,136.7
2025-12-01T16:13:00Z,C,2025-12-19,6750,136.55
2025-12-01T16:14:00Z,C,2025-12-19,6750,137.5
2025-12-01T16:15:00Z,C,2025-12-19,6750,136.85000000000002
2025-12-01T09:31:00Z,P,2025-12-19,6750,67.65
2025-12-01T09:32:00Z,P,2025-12-19,6750,68.4
2025-12-01T09:33:00Z,P,2025-12-19,6750,67.65
2025-12-01T09:34:00Z,P,2025-12-19,6750,66.4
2025-12-01T09:35:00Z,P,2025-12-19,6750,66.15
2025-12-01T09:36:00Z,P,2025-12-19,6750,65.75
2025-12-01T09:37:00Z,P,2025-12-19,6750,65.85
2025-12-01T09:38:00Z,P,2025-12-19,6750,63.95
2025-12-01T09:39:00Z,P,2025-12-19,6750,64.05
2025-12-01T09:40:00Z,P,2025-12-19,6750,66.65
2025-12-01T09:41:00Z,P,2025-12-19,6750,66.85
2025-12-01T09:42:00Z,P,2025-12-19,6750,66.4
2025-12-01T09:43:00Z,P,2025-12-19,6750,66.75
2025-12-01T09:44:00Z,P,2025-12-19,6750,68.85
2025-12-01T09:45:00Z,P,2025-12-19,6750,67.55
2025-12-01T09:46:00Z,P,2025-12-19,6750,65.35
2025-12-01T09:47:00Z,P,2025-12-19,6750,64.75
2025-12-01T09:48:00Z,P,2025-12-19,6750,62.9
2025-12-01T09:49:00Z,P,2025-12-19,6750,63.3
2025-12-01T09:50:00Z,P,2025-12-19,6750,63.75
2025-12-01T09:51:00Z,P,2025-12-19,6750,62
2025-12-01T09:52:00Z,P,2025-12-19,6750,61.5
2025-12-01T09:53:00Z,P,2025-12-19,6750,61.05
2025-12-01T09:54:00Z,P,2025-12-19,6750,60.85
2025-12-01T09:55:00Z,P,2025-12-19,6750,59.65
2025-12-01T09:56:00Z,P,2025-12-19,6750,58.400000000000006
2025-12-01T09:57:00Z,P,2025-12-19,6750,58.35
2025-12-01T09:58:00Z,P,2025-12-19,6750,58
2025-12-01T09:59:00Z,P,2025-12-19,6750,59.2
2025-12-01T10:00:00Z,P,2025-12-19,6750,56.7
2025-12-01T10:01:00Z,P,2025-12-19,6750,57.8
2025-12-01T10:02:00Z,P,2025-12-19,6750,58.25
2025-12-01T10:03:00Z,P,2025-12-19,6750,59.05
2025-12-01T10:04:00Z,P,2025-12-19,6750,60.15
2025-12-01T10:05:00Z,P,2025-12-19,6750,59.8
2025-12-01T10:06:00Z,P,2025-12-19,6750,59.85
2025-12-01T10:07:00Z,P,2025-12-19,6750,59.35
